label,category
아메리카노,카페
카페라떼,카페
바닐라라떼,카페
카푸치노,카페
에스프레소,카페
카페모카,카페
콜드브루,카페
아인슈페너,카페
녹차라떼,카페
초코라떼,카페
딸기라떼,카페
고구마라떼,카페
흑당버블티,카페
밀크티,카페
레몬에이드,카페
자몽에이드,카페
청포도에이드,카페
복숭아아이스티,카페
딸기스무디,카페
망고스무디,카페
요거트스무디,카페
유자차,카페
캐모마일티,카페
얼그레이티,카페
김치찌개,한식
된장찌개,한식
순두부찌개,한식
부대찌개,한식
제육볶음,한식
불고기,한식
비빔밥,한식
돌솥비빔밥,한식
물냉면,한식
비빔냉면,한식
칼국수,한식
수제비,한식
김치볶음밥,한식
오므라이스,한식
잔치국수,한식
갈비탕,한식
설렁탕,한식
삼계탕,한식
육개장,한식
뼈해장국,한식
순대국밥,한식
돼지국밥,한식
콩나물국밥,한식
족발,한식
보쌈,한식
곱창,한식
막창,한식
삼겹살,한식
항정살,한식
닭갈비,한식
찜닭,한식
닭발,한식
아구찜,한식
해물찜,한식
회덮밥,한식
물회,한식
초계국수,한식
김밥,분식
참치김밥,분식
치즈김밥,분식
떡볶이,분식
로제떡볶이,분식
치즈떡볶이,분식
순대,분식
모둠튀김,분식
라볶이,분식
쫄면,분식
비빔국수,분식
핫도그,분식
토스트,분식
붕어빵,분식
호떡,분식
군고구마,분식
타코야키,분식
짜장면,중식
짬뽕,중식
탕수육,중식
마라탕,중식
마라샹궈,중식
양장피,중식
새우볶음밥,중식
군만두,중식
돈가스,일식
치즈돈가스,일식
카레돈가스,일식
우동,일식
김치우동,일식
연어초밥,일식
모둠초밥,일식
규동,일식
가츠동,일식
사케동,일식
돈코츠라멘,일식
냉모밀,일식
토마토파스타,양식
크림파스타,양식
알리오올리오,양식
로제파스타,양식
까르보나라,양식
마르게리타피자,양식
페퍼로니피자,양식
고르곤졸라피자,양식
하와이안피자,양식
리조또,양식
함박스테이크,양식
후라이드치킨,치킨
양념치킨,치킨
간장치킨,치킨
마늘치킨,치킨
순살치킨,치킨
치즈볼,치킨
불고기버거,버거
치즈버거,버거
새우버거,버거
치킨버거,버거
감자튀김,버거
샌드위치,간식
베이글,간식
크로플,간식
와플,간식
마카롱,간식
티라미수,간식
치즈케이크,간식
초코케이크,간식
당근케이크,간식
소금빵,간식
크루아상,간식
도넛,간식
