store_id,store_category,barcode,raw_name,gold_label
S0866,분식,,군고구마,군고구마
S1717,양식,,시그니처 로제파스타,로제파스타
S1655,한식,,뼈해장국 1+1,뼈해장국
S0308,버거,,새우버거 (2인),새우버거
S1339,분식,,▶모둠튀김 (매운맛)◀,모둠튀김
S1011,버거,,새우버거,새우버거
S1137,카페,,시그니처 망고스무디,망고스무디
S0116,치킨,,★치즈볼곱빼 기★,치즈볼
S1002,카페,,☆딸기스무디☆,딸기스무디
S0236,양식,,리조또 셋트,리조또
S0192,한식,,아구찜,아구찜
S0358,한식,,[인기] 아구찜,아구찜
S0302,한식,,아구찜,아구찜
S1917,카페,,☆망고스무디☆,망고스무디
S1108,분식,,로제떡볶기 단품,로제떡볶이
S0074,치킨,,[인기] 마늘치킨,마늘치킨
S0089,한식,,뼈해장국,뼈해장국
S1895,분식,,김밥 단품,김밥
S0998,카페,,☆아이스 카페라떼☆,카페라떼
S0168,카페,,핫 고구마라떼,고구마라떼
S1193,한식,,아구찜,아구찜
S1110,치킨,,☆치즈볼☆,치즈볼
S1061,한식,,▶돌 솥비빔밥◀,돌솥비빔밥
S1188,일식,8801183391990,새우깡,NOT_TARGET
S1154,중식,,양장피세트!!,양장피
S1182,한식,,곱창 단품 500ml,곱창
S0186,한식,,아구찜,아구찜
S1666,중식,,탕수육,탕수육
S0330,버거,,새우버거,새우버거
S0833,버거,,새우버거,새우버거
S1194,한식,,[2호점] 아구찜 (L),아구찜
S1871,한식,,부대찌개 (L) (BEST),부대찌개
S1358,버거,,새우 버거,새우버거
S1843,분식,,군고 구마,군고구마
S1110,분식,,김밥,김밥
S0875,일식,,[2호점] 카레돈가스 +사리추가,카레돈가스
S0630,버거,,새우버거 +사리추가,새우버거
S0047,양식,,까르보나라 라지!!,까르보나라
S0286,한식,,홍대점 ☆아구찜☆,아구찜
S1639,카페,,아이스딸기라테,딸기라떼
S0199,중식,M709904,▶양장 피◀,양장피
S1183,양식,,크림파스타 +사리추가,크림파스타
S0315,버거,,불고기버거세트 주문폭주,불고기버거
S0556,한식,,☆돌솥비빔밥☆,돌솥비빔밥
S0836,카페,,딸기라떼,딸기라떼
S0256,간식,,와플,와플
S1842,한식,,(본점) 아구찜,아구찜
S1654,한식,,족발,족발
S0667,양식,,로제파스타 세트,로제파스타
S1005,한식,,아구찜,아구찜
S1264,중식,8801214957409,진라면 매운맛,NOT_TARGET
S0168,한식,,☆신메뉴☆ 된장찌개,된장찌개
S0733,분식,,쫄면,쫄면
S1996,한식,,돌솥비빔밥 2개 (BEST),돌솥비빔밥
S0831,편의점,,비타500,NOT_TARGET
S1605,버거,,치즈 버거,치즈버거
S1299,분식,,군고 구마 1+1,군고구마
S0081,한식,M859828,[인기] 닭발,닭발
S0110,한식,,아구찜,아구찜
S1815,중식,8801628409525,신라면,NOT_TARGET
S1519,편의점,,칠성사이다,NOT_TARGET
S0830,중식,,양장피,양장피
S1350,일식,8804748596274,박카스F,NOT_TARGET
S0815,한식,M855673,순대 국밥,순대국밥
S0603,한식,,아구찜,아구찜
S0906,카페,M306010,☆망고스무디 1+1☆,망고스무디
S0644,한식,,삼겹살,삼겹살
S0638,한식,,♥ 순두부찌개♥,순두부찌개
S1969,양식,8802573008160,바나나맛우유,NOT_TARGET
S1795,치킨,8804293432416,신라면,NOT_TARGET
S0003,카페,,카페모카,카페모카
S1726,버거,,새우 버거 라지,새우버거
S0276,한식,,★아 구찜★,아구찜
S0915,카페,,에스프레소,에스프레소
S0325,중식,,시그니처 짜장면 500ml,짜장면
S1450,간식,,초코케이크 (포장),초코케이크
S1848,편의점,,삼다수 2L,NOT_TARGET
S1145,한식,,아구찜 2개!!,아구찜
S0103,마트,8808882661553,포카칩 오리지널,NOT_TARGET
S0792,양식,,[강남점] 함박스테이크,함박스테이크
S1544,간식,8806316413921,레쓰비,NOT_TARGET
